iter	Passed	Remaining
330	21859	308346
331	21933	308393
332	21994	308250
333	22063	308221
334	22136	308261
335	22202	308192
336	22276	308234
337	22368	308532
338	22441	308560
339	22509	308516
340	22566	308320
341	22636	308310
342	22697	308168
343	22763	308104
344	22829	308034
345	22882	307791
346	22945	307687
347	23007	307555
348	23076	307534
349	23145	307498
350	23211	307435
351	23267	307233
352	23320	306995
353	23379	306840
354	23433	306616
355	23510	306687
356	23566	306499
357	23646	306609
358	23695	306331
359	23774	306422
360	23831	306243
361	23886	306033
362	23959	306055
363	24032	306082
364	24081	305806
365	24143	305684
366	24209	305625
367	24269	305480
368	24347	305569
369	24426	305662
370	24514	305864
371	24576	305747
372	24643	305693
373	24697	305485
374	24770	305504
375	24832	305387
376	24881	305116
377	24932	304857
378	24992	304722
379	25052	304591
380	25117	304509
381	25190	304528
382	25255	304447
383	25315	304311
384	25349	303866
385	25407	303705
386	25463	303524
387	25524	303402
388	25582	303246
389	25648	303183
390	25714	303119
391	25792	303199
392	25868	303244
393	25920	303019
394	25985	302944
395	26045	302816
396	26105	302682
397	26165	302551
398	26234	302514
399	26289	302324
